,No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
38738,38739,2014,6,3,2,2.0,9.0,17.0,9.0,25.1,91.0,995.2,26.8,NW,1.1,0.0,0.0
38739,38740,2014,6,3,3,2.0,7.0,13.0,7.0,25.2,91.0,994.8,26.9,SW,1.1,0.0,0.0
38740,38741,2014,6,3,4,2.0,4.0,17.0,4.0,24.7,84.0,994.5,27.7,SE,2.1,0.0,0.0
38741,38742,2014,6,3,5,2.0,5.0,10.0,5.0,24.9,87.0,994.6,27.3,SE,3.4,0.0,0.0
38742,38743,2014,6,3,6,2.0,6.0,20.0,6.0,24.9,89.0,995.5,26.9,NE,0.8,0.0,0.0
38743,38744,2014,6,3,7,2.0,9.0,15.0,9.0,25.1,91.0,996.4,26.7,NE,2.4,0.0,0.0
38744,38745,2014,6,3,8,2.0,12.0,22.0,12.0,23.1,92.0,997.2,24.5,NW,4.4,1.3,1.3
38745,38746,2014,6,3,9,2.0,13.0,22.0,13.0,23.0,94.0,997.4,24.1,NW,5.7,3.5,4.8
38746,38747,2014,6,3,10,2.0,15.0,21.0,15.0,23.7,95.0,997.3,24.6,NE,1.2,0.6,5.4
38747,38748,2014,6,3,11,2.0,26.0,27.0,26.0,23.6,94.0,997.5,24.7,NW,1.1,0.0,0.0
38748,38749,2014,6,3,12,2.0,33.0,30.0,33.0,24.1,91.0,996.9,25.7,SE,1.2,0.0,0.0
38749,38750,2014,6,3,13,2.0,34.0,31.0,34.0,24.1,80.0,996.2,27.9,NE,1.4,0.0,0.0
38750,38751,2014,6,3,14,2.0,50.0,42.0,50.0,25.3,75.0,995.5,30.3,SE,2.4,0.0,0.0
38751,38752,2014,6,3,15,2.0,49.0,50.0,49.0,25.1,70.0,995.1,31.3,SE,4.0,0.0,0.0
38752,38753,2014,6,3,16,2.0,19.0,58.0,19.0,25.7,83.0,995.3,28.9,NE,1.7,0.1,0.1
38753,38754,2014,6,3,17,2.0,13.0,29.0,13.0,24.4,94.0,995.2,25.5,NW,0.9,8.6,8.7
38754,38755,2014,6,3,18,2.0,21.0,18.0,21.0,24.4,95.0,995.1,25.3,SE,0.6,0.4,9.1
38755,38756,2014,6,3,19,2.0,19.0,25.0,19.0,23.9,92.0,995.9,25.3,cv,0.4,0.8,9.9
38756,38757,2014,6,3,20,2.0,27.0,40.0,27.0,24.7,95.0,996.1,25.6,NW,1.2,0.0,0.0
38757,38758,2014,6,3,21,2.0,35.0,38.0,35.0,24.6,95.0,995.9,25.5,NW,2.2,0.0,0.0
38758,38759,2014,6,3,22,2.0,56.0,45.0,56.0,24.5,95.0,996.2,25.4,NE,0.8,0.0,0.0
38759,38760,2014,6,3,23,2.0,57.0,37.0,57.0,24.4,95.0,996.5,25.3,NW,1.1,0.0,0.0
38760,38761,2014,6,4,0,2.0,64.0,43.0,64.0,24.6,96.0,996.4,25.3,NE,1.1,0.0,0.0
38761,38762,2014,6,4,1,2.0,56.0,56.0,56.0,24.5,96.0,996.2,25.2,NW,1.4,0.0,0.0
38762,38763,2014,6,4,2,2.0,56.0,42.0,56.0,24.6,96.0,996.2,25.3,NW,2.5,0.0,0.0
38763,38764,2014,6,4,3,2.0,55.0,50.0,55.0,24.2,95.0,996.0,25.1,NW,3.3,0.0,0.0
38764,38765,2014,6,4,4,2.0,77.0,55.0,77.0,24.4,95.0,996.1,25.3,NE,1.4,0.0,0.0
38765,38766,2014,6,4,5,2.0,75.0,49.0,75.0,24.5,95.0,996.5,25.4,NE,3.0,0.0,0.0
38766,38767,2014,6,4,6,2.0,63.0,51.0,63.0,24.4,95.0,996.6,25.3,NE,4.7,0.0,0.0
38767,38768,2014,6,4,7,2.0,70.0,56.0,70.0,25.1,95.0,997.0,26.0,NW,0.8,0.0,0.0
38768,38769,2014,6,4,8,2.0,71.0,57.0,71.0,25.8,89.0,997.4,27.8,NE,1.8,0.0,0.0
38769,38770,2014,6,4,9,2.0,51.0,59.0,51.0,25.3,82.0,997.4,28.7,SE,1.2,0.0,0.0
38770,38771,2014,6,4,10,2.0,43.0,58.0,43.0,25.2,75.0,997.2,30.2,SE,3.6,0.0,0.0
38771,38772,2014,6,4,11,2.0,44.0,40.0,44.0,24.5,69.0,996.9,30.9,SW,2.1,0.0,0.0
38772,38773,2014,6,4,12,2.0,53.0,45.0,53.0,24.5,67.0,996.5,31.4,SW,3.8,0.0,0.0
38773,38774,2014,6,4,13,2.0,41.0,52.0,41.0,23.8,62.0,995.8,32.1,SW,5.0,0.0,0.0
38774,38775,2014,6,4,14,2.0,35.0,57.0,35.0,23.1,55.0,994.8,33.4,SW,8.2,0.0,0.0
38775,38776,2014,6,4,15,2.0,27.0,42.0,27.0,22.6,55.0,994.4,32.9,SW,11.5,0.0,0.0
38776,38777,2014,6,4,16,2.0,5.0,37.0,5.0,23.2,58.0,993.9,32.6,SW,13.9,0.0,0.0
38777,38778,2014,6,4,17,2.0,94.0,37.0,94.0,24.2,63.0,993.4,32.2,SW,15.6,0.0,0.0
38778,38779,2014,6,4,18,2.0,73.0,45.0,73.0,23.8,62.0,993.6,32.1,SE,2.4,0.0,0.0
38779,38780,2014,6,4,19,2.0,143.0,39.0,143.0,24.2,68.0,994.0,30.8,SE,4.1,0.0,0.0
38801,38802,2014,6,5,17,2.0,35.0,23.0,35.0,25.9,88.0,992.9,28.1,NE,6.0,2.1,2.1
38802,38803,2014,6,5,18,2.0,34.0,24.0,34.0,24.0,95.0,993.4,24.9,NW,1.5,53.6,55.7
38803,38804,2014,6,5,19,2.0,28.0,21.0,28.0,24.0,95.0,993.6,24.9,NE,1.4,0.1,55.8
38804,38805,2014,6,5,20,2.0,13.0,27.0,13.0,23.9,94.0,994.2,25.0,NW,8.7,0.0,0.0
38805,38806,2014,6,5,21,2.0,11.0,24.0,11.0,22.0,95.0,995.4,22.9,NE,1.4,11.8,11.8
38806,38807,2014,6,5,22,2.0,24.0,16.0,24.0,22.1,95.0,995.8,23.0,NW,2.6,0.0,0.0
38807,38808,2014,6,5,23,2.0,14.0,15.0,14.0,22.3,95.0,996.6,23.2,NW,3.5,0.0,0.0
38808,38809,2014,6,6,0,2.0,16.0,19.0,16.0,22.4,95.0,996.7,23.3,cv,0.4,0.0,0.0
38809,38810,2014,6,6,1,2.0,25.0,17.0,25.0,22.7,96.0,996.1,23.4,NW,1.3,0.0,0.0
38810,38811,2014,6,6,2,2.0,19.0,11.0,19.0,22.7,96.0,995.2,23.4,NW,3.4,0.0,0.0
38811,38812,2014,6,6,3,2.0,23.0,19.0,23.0,22.7,96.0,994.1,23.4,NE,1.4,0.0,0.0
38812,38813,2014,6,6,4,2.0,42.0,22.0,42.0,22.5,95.0,994.2,23.4,NW,1.0,0.1,0.1
38813,38814,2014,6,6,5,2.0,53.0,18.0,53.0,22.8,96.0,994.2,23.5,NW,2.2,0.0,0.0
38814,38815,2014,6,6,6,2.0,63.0,24.0,63.0,22.7,96.0,994.4,23.4,NW,4.0,0.0,0.0
38815,38816,2014,6,6,7,2.0,83.0,33.0,83.0,23.9,96.0,994.7,24.6,NW,4.9,0.0,0.0
38816,38817,2014,6,6,8,2.0,102.0,37.0,102.0,24.4,86.0,995.3,27.0,NE,1.8,0.0,0.0
38817,38818,2014,6,6,9,2.0,219.0,34.0,219.0,24.5,82.0,995.6,27.9,NE,3.6,0.0,0.0
38818,38819,2014,6,6,10,2.0,103.0,34.0,103.0,24.4,85.0,996.0,27.2,NE,5.1,0.0,0.0
38819,38820,2014,6,6,11,2.0,124.0,42.0,124.0,25.5,90.0,995.6,27.3,cv,0.2,1.3,1.3
38820,38821,2014,6,6,12,2.0,83.0,30.0,83.0,25.6,89.0,994.9,27.6,NE,2.5,0.1,1.4
38821,38822,2014,6,6,13,2.0,19.0,30.0,19.0,22.5,95.0,995.4,23.4,SW,4.3,21.9,23.3
38822,38823,2014,6,6,14,2.0,46.0,18.0,46.0,23.5,95.0,994.5,24.4,NW,1.1,0.8,24.1
38823,38824,2014,6,6,15,2.0,14.0,16.0,14.0,23.6,95.0,993.0,24.5,NE,2.1,0.1,24.2
38824,38825,2014,6,6,16,2.0,25.0,17.0,25.0,23.5,90.0,993.3,25.3,SW,0.8,0.0,0.0
38825,38826,2014,6,6,17,2.0,54.0,20.0,54.0,23.6,88.0,993.9,25.8,SW,2.8,0.0,0.0
38826,38827,2014,6,6,18,2.0,101.0,27.0,101.0,24.3,91.0,993.8,25.9,SE,1.4,0.0,0.0
38827,38828,2014,6,6,19,2.0,93.0,35.0,93.0,24.0,92.0,994.0,25.5,NE,1.4,0.0,0.0
38828,38829,2014,6,6,20,2.0,96.0,42.0,96.0,23.9,93.0,994.5,25.2,NE,2.5,0.0,0.0
38829,38830,2014,6,6,21,2.0,110.0,44.0,110.0,23.9,94.0,995.0,25.0,NE,3.3,0.0,0.0
38830,38831,2014,6,6,22,2.0,125.0,44.0,125.0,24.0,95.0,995.8,24.9,cv,0.5,0.0,0.0
38831,38832,2014,6,6,23,2.0,102.0,42.0,102.0,24.0,95.0,996.0,24.9,cv,0.5,0.0,0.0
38832,38833,2014,6,7,0,2.0,156.0,40.0,156.0,23.9,95.0,995.8,24.8,cv,0.5,0.0,0.0
38833,38834,2014,6,7,1,2.0,142.0,47.0,142.0,23.9,95.0,995.4,24.8,NE,1.4,0.0,0.0
38834,38835,2014,6,7,2,2.0,146.0,51.0,146.0,24.0,96.0,994.9,24.7,NW,1.0,0.0,0.0
38835,38836,2014,6,7,3,2.0,147.0,52.0,147.0,24.0,96.0,994.7,24.7,NW,2.1,0.0,0.0
38836,38837,2014,6,7,4,2.0,134.0,55.0,134.0,23.9,96.0,994.6,24.6,NW,3.1,0.0,0.0
38837,38838,2014,6,7,5,2.0,144.0,55.0,144.0,23.8,96.0,994.6,24.5,NE,1.0,0.0,0.0
38838,38839,2014,6,7,6,2.0,180.0,58.0,180.0,23.8,96.0,994.5,24.5,NE,2.3,0.0,0.0
38839,38840,2014,6,7,7,2.0,142.0,61.0,142.0,24.1,96.0,995.1,24.8,NW,1.0,0.0,0.0
38840,38841,2014,6,7,8,2.0,137.0,55.0,137.0,24.3,94.0,995.4,25.4,NE,1.0,0.0,0.0
38841,38842,2014,6,7,9,2.0,108.0,55.0,108.0,24.4,89.0,995.6,26.4,SE,0.9,0.0,0.0
38842,38843,2014,6,7,10,2.0,152.0,55.0,152.0,24.4,83.0,995.3,27.6,SE,2.7,0.0,0.0
38843,38844,2014,6,7,11,2.0,125.0,52.0,125.0,24.1,81.0,995.1,27.7,SE,3.6,0.0,0.0
38844,38845,2014,6,7,12,2.0,49.0,66.0,49.0,24.1,82.0,994.6,27.5,SW,1.3,0.0,0.0
38845,38846,2014,6,7,13,2.0,61.0,51.0,61.0,24.0,79.0,994.1,28.0,SW,1.9,0.0,0.0
38846,38847,2014,6,7,14,2.0,207.0,49.0,207.0,24.4,90.0,993.5,26.2,SE,1.2,3.4,3.4
38847,38848,2014,6,7,15,2.0,162.0,58.0,162.0,25.1,92.0,992.8,26.6,SE,2.0,7.9,11.3
38848,38849,2014,6,7,16,2.0,178.0,67.0,178.0,24.8,83.0,991.8,28.0,cv,0.4,0.0,0.0
38849,38850,2014,6,7,17,2.0,224.0,65.0,224.0,24.5,83.0,991.9,27.7,SW,2.3,0.0,0.0
38850,38851,2014,6,7,18,2.0,185.0,71.0,185.0,24.4,81.0,992.2,28.0,SW,3.5,0.0,0.0
38851,38852,2014,6,7,19,2.0,162.0,65.0,162.0,24.3,86.0,992.7,26.9,NW,1.2,0.0,0.0
38852,38853,2014,6,7,20,2.0,214.0,66.0,214.0,24.5,91.0,993.6,26.1,NW,2.4,0.0,0.0
38853,38854,2014,6,7,21,2.0,208.0,73.0,208.0,24.4,93.0,994.1,25.7,NE,1.4,0.4,0.4
38854,38855,2014,6,7,22,2.0,108.0,77.0,108.0,24.1,94.0,994.4,25.2,NE,3.3,0.2,0.6
38855,38856,2014,6,7,23,2.0,150.0,64.0,150.0,24.3,95.0,994.3,25.2,NW,1.9,0.1,0.7
38856,38857,2014,6,8,0,2.0,123.0,53.0,123.0,23.9,95.0,994.0,24.8,NW,3.0,0.0,0.0
38857,38858,2014,6,8,1,2.0,152.0,42.0,152.0,23.7,95.0,993.9,24.6,NW,4.3,0.0,0.0
38858,38859,2014,6,8,2,2.0,141.0,37.0,141.0,23.6,96.0,993.7,24.3,NW,6.1,0.0,0.0
38859,38860,2014,6,8,3,2.0,142.0,38.0,142.0,23.6,96.0,993.3,24.3,NW,7.8,0.0,0.0
38860,38861,2014,6,8,4,2.0,158.0,47.0,158.0,23.6,96.0,993.2,24.3,NW,9.8,0.0,0.0
38861,38862,2014,6,8,5,2.0,213.0,50.0,213.0,23.8,96.0,993.6,24.5,NW,11.2,0.0,0.0
38862,38863,2014,6,8,6,2.0,191.0,47.0,191.0,23.9,96.0,994.0,24.6,NW,12.6,0.0,0.0
38863,38864,2014,6,8,7,2.0,137.0,57.0,137.0,24.4,96.0,994.4,25.1,NW,13.5,0.0,0.0
38864,38865,2014,6,8,8,2.0,137.0,59.0,137.0,24.5,88.0,994.4,26.7,NE,2.2,0.0,0.0
38865,38866,2014,6,8,9,2.0,95.0,62.0,95.0,24.6,79.0,994.4,28.7,NW,4.0,0.0,0.0
38866,38867,2014,6,8,10,2.0,63.0,67.0,63.0,23.9,71.0,994.3,29.8,NE,6.2,0.0,0.0
38867,38868,2014,6,8,11,2.0,107.0,65.0,107.0,24.0,64.0,993.9,31.7,NE,10.0,0.0,0.0
38868,38869,2014,6,8,12,2.0,96.0,69.0,96.0,22.6,56.0,993.6,32.6,cv,0.4,0.0,0.0
38869,38870,2014,6,8,13,2.0,69.0,72.0,69.0,23.2,57.0,992.7,32.9,NW,1.6,0.0,0.0
38870,38871,2014,6,8,14,2.0,80.0,78.0,80.0,22.8,52.0,991.9,34.1,SW,1.0,0.0,0.0
38871,38872,2014,6,8,15,2.0,50.0,70.0,50.0,22.7,53.0,991.5,33.7,NE,1.2,0.0,0.0
38872,38873,2014,6,8,16,2.0,71.0,61.0,71.0,22.7,50.0,990.8,34.7,NW,2.0,0.0,0.0
38873,38874,2014,6,8,17,2.0,71.0,66.0,71.0,22.3,49.0,990.6,34.6,NW,3.3,0.0,0.0
38874,38875,2014,6,8,18,2.0,90.0,60.0,90.0,22.5,53.0,990.9,33.4,NE,1.2,0.0,0.0
38875,38876,2014,6,8,19,2.0,111.0,57.0,111.0,25.8,77.0,991.5,30.3,NE,2.3,0.0,0.0
38876,38877,2014,6,8,20,2.0,155.0,62.0,155.0,25.3,83.0,992.5,28.5,NW,1.7,0.0,0.0
38877,38878,2014,6,8,21,2.0,135.0,78.0,135.0,25.5,89.0,992.9,27.5,NE,1.7,0.0,0.0
38878,38879,2014,6,8,22,2.0,145.0,89.0,145.0,25.5,91.0,993.2,27.2,NE,3.0,0.0,0.0
38879,38880,2014,6,8,23,2.0,233.0,84.0,233.0,25.5,92.0,993.9,27.0,NW,0.6,0.0,0.0
38880,38881,2014,6,9,0,2.0,177.0,81.0,177.0,25.3,93.0,993.7,26.6,NE,1.3,0.0,0.0
38881,38882,2014,6,9,1,2.0,207.0,79.0,207.0,24.9,92.0,993.0,26.4,SE,1.2,0.0,0.0
38882,38883,2014,6,9,2,2.0,150.0,46.0,150.0,24.5,91.0,992.7,26.1,NE,1.2,0.0,0.0
38883,38884,2014,6,9,3,2.0,139.0,60.0,139.0,24.7,93.0,992.6,26.0,SE,1.8,0.8,0.8
38884,38885,2014,6,9,4,2.0,121.0,55.0,121.0,23.8,95.0,993.3,24.7,NE,2.6,6.1,6.9
38885,38886,2014,6,9,5,2.0,47.0,43.0,47.0,23.0,94.0,993.4,24.1,SW,2.8,6.0,12.9
38886,38887,2014,6,9,6,2.0,81.0,47.0,81.0,23.6,96.0,993.4,24.3,NE,1.7,3.5,16.4
38887,38888,2014,6,9,7,2.0,61.0,33.0,61.0,24.1,96.0,994.0,24.8,NE,2.6,0.1,16.5
38888,38889,2014,6,9,8,2.0,67.0,25.0,67.0,24.3,95.0,994.4,25.2,NE,3.7,0.0,0.0
38889,38890,2014,6,9,9,2.0,78.0,27.0,78.0,24.5,89.0,994.8,26.5,NE,5.3,0.0,0.0
38890,38891,2014,6,9,10,2.0,67.0,30.0,67.0,24.5,85.0,994.8,27.3,NE,6.5,0.0,0.0
38891,38892,2014,6,9,11,2.0,59.0,37.0,59.0,24.8,80.0,994.6,28.6,NE,8.0,0.0,0.0
38892,38893,2014,6,9,12,2.0,66.0,38.0,66.0,25.6,76.0,994.0,30.4,NE,9.2,0.0,0.0
38893,38894,2014,6,9,13,2.0,105.0,47.0,105.0,24.2,70.0,993.1,30.3,SE,1.4,0.0,0.0
38894,38895,2014,6,9,14,2.0,121.0,43.0,121.0,24.5,68.0,992.3,31.2,SE,3.2,0.0,0.0
38895,38896,2014,6,9,15,2.0,101.0,52.0,101.0,24.0,63.0,991.7,32.0,SE,5.3,0.0,0.0
38896,38897,2014,6,9,16,2.0,86.0,65.0,86.0,23.6,62.0,991.2,31.8,SE,7.2,0.0,0.0
38897,38898,2014,6,9,17,2.0,92.0,62.0,92.0,23.5,64.0,990.9,31.2,SE,9.7,0.0,0.0
38898,38899,2014,6,9,18,2.0,83.0,64.0,83.0,24.0,68.0,991.6,30.6,SW,4.1,0.0,0.0
38899,38900,2014,6,9,19,2.0,71.0,61.0,71.0,23.5,71.0,992.2,29.4,SE,2.5,0.0,0.0
38900,38901,2014,6,9,20,2.0,75.0,57.0,75.0,23.9,75.0,993.0,28.8,SE,5.4,0.0,0.0
38901,38902,2014,6,9,21,2.0,68.0,45.0,68.0,24.0,77.0,994.0,28.5,SW,4.8,0.0,0.0
38902,38903,2014,6,9,22,2.0,98.0,38.0,98.0,24.2,80.0,994.0,28.0,SW,7.3,0.0,0.0
38903,38904,2014,6,9,23,2.0,101.0,31.0,101.0,24.1,83.0,994.0,27.3,SE,2.8,0.0,0.0
38904,38905,2014,6,10,0,2.0,90.0,36.0,90.0,23.8,81.0,993.9,27.4,SE,4.3,0.0,0.0
38905,38906,2014,6,10,1,2.0,85.0,38.0,85.0,23.8,84.0,993.5,26.8,SE,5.5,0.0,0.0
38906,38907,2014,6,10,2,2.0,103.0,30.0,103.0,23.7,84.0,993.2,26.7,NE,1.3,0.0,0.0
38907,38908,2014,6,10,3,2.0,89.0,35.0,89.0,24.0,88.0,992.6,26.2,NE,2.9,0.0,0.0
38908,38909,2014,6,10,4,2.0,96.0,36.0,96.0,23.8,88.0,992.6,26.0,NE,4.2,0.0,0.0
38909,38910,2014,6,10,5,2.0,76.0,40.0,76.0,23.8,89.0,992.8,25.8,NE,5.5,0.0,0.0
38910,38911,2014,6,10,6,2.0,59.0,46.0,59.0,23.7,88.0,993.0,25.9,NE,7.0,0.0,0.0
38911,38912,2014,6,10,7,2.0,54.0,38.0,54.0,23.8,87.0,993.8,26.2,NE,7.9,0.0,0.0
38912,38913,2014,6,10,8,2.0,59.0,38.0,59.0,24.1,81.0,994.4,27.7,NE,8.5,0.0,0.0
38913,38914,2014,6,10,9,2.0,43.0,36.0,43.0,23.2,77.0,994.9,27.7,NE,10.7,0.0,0.0
38914,38915,2014,6,10,10,2.0,45.0,36.0,45.0,23.9,77.0,995.0,28.4,NE,12.3,0.0,0.0
38915,38916,2014,6,10,11,2.0,33.0,29.0,33.0,23.8,76.0,994.9,28.5,NE,14.5,0.0,0.0
38916,38917,2014,6,10,12,2.0,68.0,34.0,68.0,24.2,73.0,994.5,29.6,NE,16.7,0.0,0.0
38917,38918,2014,6,10,13,2.0,93.0,38.0,93.0,23.4,71.0,993.6,29.3,NE,19.5,0.0,0.0
38918,38919,2014,6,10,14,2.0,121.0,42.0,121.0,24.3,74.0,993.1,29.5,NE,21.5,0.0,0.0
38919,38920,2014,6,10,15,2.0,117.0,42.0,117.0,24.2,79.0,992.3,28.2,NE,23.0,0.0,0.0
38920,38921,2014,6,10,16,2.0,111.0,48.0,111.0,24.4,84.0,992.1,27.4,NW,2.3,0.0,0.0
38921,38922,2014,6,10,17,2.0,100.0,59.0,100.0,24.4,83.0,991.9,27.6,NW,3.6,0.0,0.0
38922,38923,2014,6,10,18,2.0,68.0,54.0,68.0,24.5,83.0,992.3,27.7,NW,5.5,0.0,0.0
38923,38924,2014,6,10,19,2.0,80.0,60.0,80.0,24.9,87.0,992.9,27.3,NW,6.1,0.0,0.0
38924,38925,2014,6,10,20,2.0,93.0,72.0,93.0,25.1,91.0,993.6,26.7,NE,2.0,0.0,0.0
38925,38926,2014,6,10,21,2.0,69.0,74.0,69.0,24.9,94.0,993.9,26.0,NW,1.4,0.8,0.8
38926,38927,2014,6,10,22,2.0,89.0,78.0,89.0,25.0,95.0,994.6,25.9,NW,2.5,0.0,0.0
38927,38928,2014,6,10,23,2.0,129.0,82.0,129.0,24.5,94.0,994.8,25.6,NE,1.3,0.0,0.0
38928,38929,2014,6,11,0,2.0,339.0,100.0,339.0,24.5,94.0,994.4,25.6,cv,0.0,0.0,0.0
38929,38930,2014,6,11,1,2.0,526.0,109.0,526.0,24.5,95.0,994.1,25.4,NW,1.4,0.0,0.0
38930,38931,2014,6,11,2,2.0,468.0,91.0,468.0,24.5,95.0,993.7,25.4,NW,2.9,0.0,0.0
38931,38932,2014,6,11,3,2.0,327.0,78.0,327.0,24.7,94.0,993.3,25.8,SE,1.3,0.0,0.0
38932,38933,2014,6,11,4,2.0,199.0,74.0,199.0,24.5,94.0,993.1,25.6,SW,0.8,0.0,0.0
38933,38934,2014,6,11,5,2.0,115.0,36.0,115.0,24.6,95.0,992.9,25.5,NW,0.9,0.0,0.0
38934,38935,2014,6,11,6,2.0,101.0,27.0,101.0,24.5,95.0,993.3,25.4,NW,1.9,0.0,0.0
38935,38936,2014,6,11,7,2.0,105.0,20.0,105.0,24.6,95.0,993.6,25.5,NW,2.6,0.0,0.0
38936,38937,2014,6,11,8,2.0,93.0,25.0,93.0,25.3,94.0,994.2,26.4,NE,0.6,0.0,0.0
38937,38938,2014,6,11,9,2.0,97.0,37.0,97.0,24.9,85.0,994.6,27.7,NW,1.0,0.0,0.0
38938,38939,2014,6,11,10,2.0,258.0,32.0,258.0,23.5,85.0,995.1,26.3,SE,1.9,0.0,0.0
38939,38940,2014,6,11,11,2.0,231.0,39.0,231.0,23.6,94.0,995.5,24.7,NE,0.8,14.8,14.8
38940,38941,2014,6,11,12,2.0,226.0,52.0,226.0,23.8,95.0,995.3,24.7,SE,0.8,9.2,24.0
38941,38942,2014,6,11,13,2.0,247.0,37.0,247.0,24.0,95.0,994.8,24.9,cv,0.0,2.6,26.6
38942,38943,2014,6,11,14,2.0,144.0,35.0,144.0,24.0,94.0,994.4,25.1,cv,0.4,0.6,27.2
38943,38944,2014,6,11,15,2.0,146.0,46.0,146.0,24.0,92.0,993.9,25.4,SE,0.9,1.3,28.5
38944,38945,2014,6,11,16,2.0,122.0,40.0,122.0,24.9,91.0,993.2,26.5,NW,2.1,0.1,28.6
38945,38946,2014,6,11,17,2.0,114.0,44.0,114.0,24.4,89.0,993.1,26.4,NW,3.3,0.0,0.0
38946,38947,2014,6,11,18,2.0,196.0,46.0,196.0,24.3,88.0,993.0,26.5,NW,5.4,0.0,0.0
38947,38948,2014,6,11,19,2.0,153.0,51.0,153.0,24.4,91.0,993.4,26.0,NW,7.2,0.0,0.0
38948,38949,2014,6,11,20,2.0,127.0,61.0,127.0,23.9,92.0,994.0,25.3,NW,9.2,0.0,0.0
38949,38950,2014,6,11,21,2.0,176.0,69.0,176.0,23.7,93.0,994.2,25.0,NE,1.3,0.0,0.0
38950,38951,2014,6,11,22,2.0,211.0,75.0,211.0,23.8,93.0,994.6,25.1,NW,0.6,0.0,0.0
38951,38952,2014,6,11,23,2.0,174.0,73.0,174.0,23.8,94.0,994.8,24.9,NW,1.5,0.0,0.0
38952,38953,2014,6,12,0,2.0,150.0,67.0,150.0,23.9,95.0,994.7,24.8,NW,3.3,0.0,0.0
38953,38954,2014,6,12,1,2.0,112.0,61.0,112.0,24.0,95.0,994.7,24.9,NW,4.4,0.0,0.0
38954,38955,2014,6,12,2,2.0,119.0,43.0,119.0,24.0,95.0,994.1,24.9,NW,6.5,0.5,0.5
38962,38963,2014,6,12,10,2.0,91.0,46.0,91.0,21.3,74.0,995.8,26.4,NE,5.6,0.0,0.0
38963,38964,2014,6,12,11,2.0,67.0,59.0,67.0,21.5,71.0,995.8,27.3,SE,1.1,0.0,0.0
38964,38965,2014,6,12,12,2.0,29.0,57.0,29.0,21.7,64.0,995.2,29.3,SW,2.0,0.0,0.0
38965,38966,2014,6,12,13,2.0,46.0,48.0,46.0,17.4,44.0,994.4,31.1,NE,1.5,0.0,0.0
38966,38967,2014,6,12,14,2.0,53.0,41.0,53.0,18.0,43.0,993.7,32.2,NE,3.3,0.0,0.0
38967,38968,2014,6,12,15,2.0,38.0,42.0,38.0,18.4,42.0,993.1,33.1,NE,5.1,0.0,0.0
38968,38969,2014,6,12,16,2.0,37.0,36.0,37.0,19.0,43.0,992.7,33.3,NE,7.3,0.0,0.0
38969,38970,2014,6,12,17,2.0,36.0,39.0,36.0,17.6,39.0,992.4,33.5,NE,9.8,0.0,0.0
38970,38971,2014,6,12,18,2.0,42.0,40.0,42.0,20.4,52.0,992.6,31.5,NE,11.0,0.0,0.0
38971,38972,2014,6,12,19,2.0,58.0,45.0,58.0,22.3,67.0,992.9,29.1,NW,1.6,0.0,0.0
38972,38973,2014,6,12,20,2.0,52.0,43.0,52.0,23.3,81.0,993.6,26.9,NE,2.3,0.0,0.0
38973,38974,2014,6,12,21,2.0,71.0,51.0,71.0,23.2,86.0,994.2,25.8,NW,2.1,0.0,0.0
38974,38975,2014,6,12,22,2.0,106.0,70.0,106.0,23.3,88.0,995.0,25.5,NW,3.9,0.0,0.0
38975,38976,2014,6,12,23,2.0,140.0,98.0,140.0,23.0,89.0,995.2,25.0,NW,5.5,0.0,0.0
38976,38977,2014,6,13,0,2.0,154.0,108.0,154.0,22.5,89.0,995.1,24.5,NE,1.4,0.0,0.0
38977,38978,2014,6,13,1,2.0,131.0,130.0,131.0,22.5,92.0,994.8,23.9,NW,1.2,0.0,0.0
38978,38979,2014,6,13,2,2.0,113.0,130.0,113.0,22.3,93.0,994.4,23.6,NW,2.7,0.0,0.0
38979,38980,2014,6,13,3,2.0,132.0,101.0,132.0,22.3,95.0,994.0,23.2,NW,5.1,0.0,0.0
38980,38981,2014,6,13,4,2.0,134.0,92.0,134.0,21.7,95.0,993.9,22.6,NW,6.9,0.0,0.0
38981,38982,2014,6,13,5,2.0,128.0,83.0,128.0,21.4,95.0,994.0,22.3,NW,9.1,0.0,0.0
38982,38983,2014,6,13,6,2.0,135.0,85.0,135.0,20.6,93.0,994.2,21.8,NW,10.6,0.0,0.0
38983,38984,2014,6,13,7,2.0,140.0,84.0,140.0,21.7,89.0,994.4,23.7,NE,1.3,0.0,0.0
38984,38985,2014,6,13,8,2.0,104.0,90.0,104.0,22.4,75.0,995.1,27.3,NE,2.8,0.0,0.0
38985,38986,2014,6,13,9,2.0,59.0,77.0,59.0,22.5,66.0,995.3,29.6,NE,4.5,0.0,0.0
38986,38987,2014,6,13,10,2.0,54.0,68.0,54.0,20.4,51.0,995.4,31.8,NE,7.9,0.0,0.0
38987,38988,2014,6,13,11,2.0,60.0,63.0,60.0,16.9,40.0,995.4,32.3,NE,10.6,0.0,0.0
38988,38989,2014,6,13,12,2.0,59.0,55.0,59.0,16.7,38.0,995.3,33.0,NE,12.7,0.0,0.0
38989,38990,2014,6,13,13,2.0,55.0,57.0,55.0,17.3,38.0,994.8,33.6,NE,15.5,0.0,0.0
